No.;Time;;TIME 1;TIME 2;DELAY;DELAY 1;DELAY 2;JITTER
278;4,322961;;4,322961;4,324364;0,001403;0,001403;-0,002043;-0,003446
279;4,324364;;4,324364;4,324364;0;-0,002043;0,002043;0,004086
280;4,324364;;4,324364;4,326407;0,002043;0,002043;-0,004603;-0,006646
281;4,326407;;4,326407;4,326407;0;-0,004603;0,004603;0,009206
282;4,326407;;4,326407;4,33101;0,004603;0,004603;0;-0,004603
283;4,33101;;4,33101;4,33101;0;0;-0,001687;-0,001687
284;4,33101;;4,33101;4,33101;0;-0,001687;0,001687;0,003374
285;4,33101;;4,33101;4,332697;0,001687;0,001687;0;-0,001687
286;4,332697;;4,332697;4,332697;0;0;-0,000255;-0,000255
287;4,332697;;4,332697;4,332697;0;-0,000255;-0,001851;-0,001596
288;4,332697;;4,332697;4,332952;0,000255;-0,001851;0,002106;0,003957
289;4,332952;;4,332952;4,335058;0,002106;0,002106;-0,001712;-0,003818
290;4,335058;;4,335058;4,335058;0;-0,001712;0,001712;0,003424
291;4,335058;;4,335058;4,33677;0,001712;0,001712;0;-0,001712
292;4,33677;;4,33677;4,33677;0;0;-0,001535;-0,001535
293;4,33677;;4,33677;4,33677;0;-0,001535;0,001535;0,00307
294;4,33677;;4,33677;4,338305;0,001535;0,001535;-0,001946;-0,003481
295;4,338305;;4,338305;4,338305;0;-0,001946;0,001946;0,003892
296;4,338305;;4,338305;4,340251;0,001946;0,001946;-0,0003;-0,002246
297;4,340251;;4,340251;4,340251;0;-0,0003;-0,001628;-0,001328
298;4,340251;;4,340251;4,340551;0,0003;-0,001628;0,001928;0,003556
299;4,340551;;4,340551;4,342479;0,001928;0,001928;-0,002435;-0,004363
300;4,342479;;4,342479;4,342479;0;-0,002435;0,002435;0,00487
301;4,342479;;4,342479;4,344914;0,002435;0,002435;-0,001934;-0,004369
302;4,344914;;4,344914;4,344914;0;-0,001934;0,001934;0,003868
303;4,344914;;4,344914;4,346848;0,001934;0,001934;-0,001579;-0,003513
304;4,346848;;4,346848;4,346848;0;-0,001579;0,001579;0,003158
305;4,346848;;4,346848;4,348427;0,001579;0,001579;-0,00166;-0,003239
306;4,348427;;4,348427;4,348427;0;-0,00166;0,00166;0,00332
307;4,348427;;4,348427;4,350087;0,00166;0,00166;-0,000148;-0,001808
308;4,350087;;4,350087;4,350087;0;-0,000148;-0,008197;-0,008049
309;4,350087;;4,350087;4,350235;0,000148;-0,008197;0,008345;0,016542
310;4,350235;;4,350235;4,35858;0,008345;0,008345;0;-0,008345
311;4,35858;;4,35858;4,35858;0;0;-0,000134;-0,000134
312;4,35858;;4,35858;4,35858;0;-0,000134;0,000134;0,000268
313;4,35858;;4,35858;4,358714;0,000134;0,000134;-4,20E-05;-0,000176
314;4,358714;;4,358714;4,358714;0;-4,20E-05;-3,20E-05;1,00E-05
315;4,358714;;4,358714;4,358756;4,20E-05;-3,20E-05;7,40E-05;0,000106
316;4,358756;;4,358756;4,35883;7,40E-05;7,40E-05;0;-7,40E-05
317;4,35883;;4,35883;4,35883;0;0;-0,001835;-0,001835
318;4,35883;;4,35883;4,35883;0;-0,001835;0,001835;0,00367
